"","label0","label1"
"13231",203.46,132.6
"53816",117.13,85.134
"721",129.47,129.11
"431",108.99,128.27
"59640",141.73,84.469
"4789",121.86,99.472
"12360",165.92,96.131
"235",175.26,117.46
"62660",169.56,102.54
"25617",142.32,111.97
"26006",147.92,116.6
"61610",180.02,120.3
"5928",186.75,112.01
"27581",133.47,83.188
"56155",153.38,76.971
"17607",176.93,102.4
"53756",123.11,70.452
"27870",162.21,90.41
"49166",122.2,114.1
"36997",132.35,104.01
"20708",157.92,95.339
"1687",173.64,97.891
"49420",191.18,118.5
"11989",181.54,83.313
"33332",157.64,72.599
"39869",116.25,81.494
"32926",121.78,89.353
"21051",156.59,71.158
"18115",183.33,102.33
"45027",171.31,97.017
"60579",127.68,99.484
"26201",184.2,83.14
"19698",107.51,99.712
"61990",172.94,77.294
"23214",154.81,132.89
"58734",182.13,127.54
"30854",156.34,107.71
"12195",156.54,104.17
"61370",170.58,87.702
"27525",176.08,104.21
"60293",182.85,108.94
"52836",166.76,104.14
"48197",150.64,98.642
"40823",137.09,91.205
"20580",159.88,86.722
"50875",99.616,59.122
"14435",155.14,94.261
"44293",144.43,102.37
"46056",162.81,110.96
"16002",186.9,88.403
"40880",199.79,111.05
"41068",138.25,112.34
"63059",160.31,97.4
"6105",128.27,100.3
"16817",149.71,122.87
"12008",182.05,100.71
"29820",138.85,72.178
"59479",115.59,109.24
"7587",175.45,102.22
"17325",153.27,135.13
"42703",125.07,116.81
"59607",125.66,116.53
"54758",180.21,110.38
"43284",127.46,104
"7713",140.77,89.988
"12316",140.91,57.909
"62887",151.16,94.926
"62110",128.09,87.363
"27764",157.24,105.62
"10578",108.25,113.6
"6857",146.4,103.77
"49404",146.17,85.001
"41825",198.74,77.736
"59373",133.44,111.63
"50074",130.39,91.086
"65336",177.6,106.12
"19027",92.992,95.713
"47311",156.43,105.69
"38372",183.03,97.649
"13103",140.96,137.59
"37935",156.93,106.28
"27347",176.98,99.813
"57621",134.25,113.59
"51356",140.02,66.719
"1936",151.16,138.63
"51690",149.61,125.16
"32770",145.4,78.969
"23452",168.96,98.242
"37563",166.85,68.152
"57790",141.34,69.858
"1080",153.95,107.22
"9767",180.29,89.075
"61013",159.33,85.617
"39587",192.18,110.54
"29162",183.84,128.74
"61068",178.85,127.09
"62237",122.64,70.491
"20879",141.4,128.74
"19432",178.22,100.71
"10845",139.76,57.414
"59869",138.71,65.73
"39670",158.87,92.387
"57268",117.19,108.32
"45748",182.13,97.639
"40913",141.93,112.31
"40335",173.6,130.02
"62341",170.03,111.35
"18112",133.03,73.212
"52434",140.89,106.81
"23474",196.99,113.01
"21606",152.91,100.98
"24365",148.9,131.37
"63124",165.9,94.866
"43629",133.62,130.18
"28872",165.87,119.14
"25659",128.25,71.56
"38254",150.25,113.92
"36269",143.72,126.87
"6586",159.05,84.681
"53092",171.44,108.45
"35001",123.17,95.778
"42548",192.38,65.74
"3306",137.95,122.05
"6178",173.95,74.709
"35668",157.67,103.41
"65362",191.11,97.154
"39972",160.29,103.78
"3979",147.75,116.68
"12910",143.83,128.95
"56771",146.19,99.859
"19168",169.96,75.846
"9110",141.84,108.27
"48172",137.21,109.44
"33305",158.84,85.194
"38086",174.49,105.08
"27640",125.13,95.807
"37004",129.75,109.95
"36453",171.34,112.67
"5083",126.8,89.898
"22078",144.47,80.575
"59913",122.39,127.24
"22861",145.64,132.95
"28135",149.62,99.873
"11457",143.74,79.657
"16854",161.2,103.39
"15273",178.02,115.8
"64431",140.47,135.53
"60838",134.37,88.179
"13652",164.02,111.83
"44752",142.02,109.32
"31355",135.41,61.048
"32516",138.1,97.275
"5134",128.61,107.87
"24481",158.74,79.716
"12631",120.87,101.42
"41414",162.72,112.58
"55638",111.22,104.34
"40159",134.8,83.547
"15386",132.16,95.921
"54554",132.2,100.26
"30956",162.26,109.04
"47532",159.13,117.28
"47970",161.91,101.6
"30027",185.51,130.66
"42702",129.77,116.84
"10869",143.64,76.285
"19391",140.9,106.27
"10530",171.87,95.901
