"","label0","label1"
"57217",131.13,67.425
"36948",178.18,98.677
"40988",136.85,48.941
"29922",164.74,90.874
"37982",104.75,84.517
"10282",184.26,99.832
"25855",137.17,92.623
"2223",193.75,127.95
"6665",154.06,119.29
"45031",152.18,102.62
"28212",136.42,71.93
"51462",154.23,105.86
"34223",143.59,130.45
"25600",162.08,106.9
"47894",158.39,118.02
"27052",136.55,122.72
"16546",153.08,92.405
"43634",96.766,92.487
"42398",111.39,70.193
"62318",162.74,126.77
"5325",142.69,118.2
"19343",149.74,141.73
"46266",127.57,97.189
"23017",148.48,124.85
"40686",126.78,123.14
"1676",142.97,112.07
"4933",138.14,105
"9779",175.67,70.467
"46986",146.9,107.86
"49337",161.46,98.681
"30565",174.6,102.26
"14890",135.76,134.09
"35724",161.71,109.61
"59295",128.91,105.61
"45163",140.81,111.12
"62479",143.57,120.82
"14179",167.75,103.45
"31787",137.87,91.453
"23118",199.6,137.34
"61962",131.13,134.83
"41947",174.59,83.413
"28103",172,91.633
"48880",171.83,107.26
"10821",152.86,111.59
"8596",155.49,101.09
"45807",202.12,112.9
"59921",173.72,111.51
"35680",160.22,66.978
"47661",142.97,130.98
"17431",158.72,81.525
"45882",164.51,97.324
"57215",101.27,94.065
"29676",180.05,104.29
"28498",144.92,89.759
"42796",215.77,119.41
"14752",149.56,85.008
"7220",141.62,110.35
"53014",152.54,110.45
"64619",148.96,109.02
"646",169.66,114.68
"58005",190.13,73.804
"44067",142.95,94.702
"47792",175.44,107.24
"44669",107.96,52.885
"17479",158.31,87.019
"2670",151.04,122.22
"58066",164.52,83.903
"8930",163.33,94.887
"8356",172.67,100.4
"22184",175.58,111.46
"37888",125.84,115.21
"65506",127.87,93.253
"16898",157.64,102.18
"11367",138.72,97.094
"13155",178.56,101.44
"24466",174.31,85.397
"24897",155.75,88.137
"43819",172.27,123.38
"24256",149.94,73.858
"53702",156.23,107.97
"11463",183.12,92.029
"48171",149.38,94.957
"22275",161.37,102.64
"5870",158.59,126.05
"60077",141.48,100.2
"36324",145.13,101.18
"38841",145.18,100.14
"21662",113.94,97.638
"57377",138.06,63.847
"18709",144.94,107.23
"65224",158.44,116.79
"49456",134.61,118.93
"35528",155.42,112.61
"34139",134.37,91.177
"1674",158.37,125.26
"2560",137.37,63.507
"6208",120.03,88.238
"24238",188.88,130.68
"62820",179.47,103.4
"33133",117.54,123.51
"48170",172.86,98.526
"64109",193.63,102.26
"56292",139.15,104.03
"53090",161.64,101.61
"19414",146.17,109.22
"44639",176.61,62.227
"56085",126.21,103.93
"38603",188.1,122.85
"59073",197.18,68.275
"37612",131.68,108.63
"5304",183.86,114.99
"54842",141.69,62.777
"33811",126.1,109.94
"13583",169.61,125.45
"32600",144.75,105.2
"22921",151.51,111.61
"55458",160.08,100.02
"48656",181.38,112.05
"2539",126.25,129.12
"14759",146.99,88.187
"42436",144.85,103.1
"7597",166.39,124.61
"30921",173.31,126.43
"64140",141.5,127.98
"39213",155.37,126.39
"62870",147.36,105.43
"51966",118.03,60.304
"41326",149.73,101.98
"5867",155.14,114
"31750",150.24,96.244
"39209",149.52,97.27
"10309",145.6,98.778
"36701",176.15,70.144
"5042",114.45,110.95
"19505",142.59,111.4
"52457",109.44,121.94
"31487",135.23,71.834
"33374",164.64,76.003
"58632",146.93,122.78
"30180",183.22,97.97
"16789",185.45,105.36
"3811",180.62,105.65
"60202",154.74,101.08
"38756",141.52,104.61
"12840",171.3,104.6
"65038",154.12,126.01
"15929",176.12,82.194
"32904",157.58,85.981
"8729",178.57,86.493
"49636",154.73,100.66
"42372",186.75,102.14
"3146",128.09,87.435
"48820",173.56,102
"17186",134.18,95.224
"49445",173.45,106.03
"27476",146.95,105.8
"31280",156.11,129.71
"26008",151.69,82.896
"64048",180.36,123.65
"60750",166.37,125.15
"14096",171.19,125.17
"57828",158.26,97.414
"45802",151.66,128.95
"51480",166.37,85.43
"24112",138.43,129.02
"59923",133.45,106.33
"46413",183.19,126.32
"26766",170.88,101.03
"54222",156.65,126.54
"31006",123.99,83.782
"65108",151.77,82.831
"31560",162.34,111.35
"6901",150.57,98.647
"46844",156.1,75.323
"25295",176.26,137.52
