1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
170.39,167.28,143.44,124.67,139.01,125.83,144.33,151.26,175.51,171.31,161.9,146.92,141.8,140.91,132.8,128.48,170.83,169.61,168.07,154.88,149.33,152.91,152.61,137.09,169.59,183.01,180.44,164.55,152.63,157.77,165.07,149.52,142.73,173.85,182.23,174.58,163.28,164.01,169.2,148.48,134.31,174.07,191.33,168.66,156.89,170.86,184.84,167.02,123.67,140.54,153.69,147.57,144.65,162.24,172.96,169.67,157.51,161.06,133.23,124.41,138.44,142.93,137.13,134.44
169.75,190.96,175.53,138.27,137.47,139.23,133.23,130.25,147.73,163.93,167.36,171.52,155.54,139.34,151.95,149.3,173.37,153.57,128.45,159.93,165.33,147.94,143.74,140.88,182.53,184.08,148.09,125.26,139.67,138.7,132.86,141.5,145.4,164.58,170.71,127.83,133.99,141.2,152.87,142.36,148.26,162.54,156.55,137.99,129.64,137.59,147.92,152.14,162.48,168.72,161.14,147.87,141.02,155.39,139.58,141.58,153.39,141,148.43,168.12,169.9,165.64,166.86,137.69
153.69,153.68,144.02,158.73,178.87,157.04,152.92,147.52,142.87,165.26,160.39,137.86,149.62,153.43,152.6,162.85,146.35,134.27,126.81,136.28,158.4,171.58,161.6,162.91,143.14,129.73,125.97,151.09,177.89,169.2,160.65,156.86,135.66,126.92,131.22,154.37,158.59,158.52,155.25,154.33,130.18,127.66,148.94,163.53,139.7,143.79,166.88,164.6,149.58,139.56,154.74,173.01,155.18,141.61,155.19,170.51,155.37,167.11,146.89,141.01,159.43,169.68,163.24,165.17
131.69,151.56,151.05,134,151.18,175.53,171.34,159.77,151.95,146.1,148.53,140.28,138.16,145.44,150.4,158.18,163.8,171.49,150.2,131.28,157.18,157.04,151.13,151.66,143.32,157.23,152.91,134.75,154.65,171.65,160.3,157.73,143.67,145.87,151.73,147.09,151.21,157.96,148.5,156.6,147.45,153.18,156.58,147.98,143.47,142.83,147.91,148.05,145.66,156.5,167.52,151.33,129.51,138.08,164.25,155.82,157.83,152.43,150.82,146.58,128.85,140.76,177.35,174.61
162.85,158.88,132.27,138.41,143.98,159.3,177.26,180.58,159.34,164.66,138.04,132.76,157.88,165.58,173.64,163.5,127.97,141.39,147.02,137.52,135.46,146.41,159.09,164.53,148.45,130.76,136.22,144.86,127.38,137.09,159.08,153.25,182.49,187.75,139.37,117.12,124.07,134.6,144.85,132.64,170.87,188.26,173.32,127.15,131.69,127.8,114.16,100.11,154.02,175.3,175.46,144.39,142.47,149.46,132.8,130.96,135.74,167.31,188.21,179.52,146.2,153.73,152.12,146.58
132.05,149.12,165.08,170.62,162.19,157.1,145.86,149.52,162.84,149.5,138.86,140.41,156.82,171.41,158.94,153.78,176.64,169.6,149.55,138.69,142.72,172.72,172.08,156.74,154.95,155.39,152.42,146.35,141.2,150.94,154.63,150.24,140.62,144.13,159.41,148.12,149.68,139.02,121.29,132.76,161.71,157.6,165.57,151.45,153.89,152.43,139.58,131.01,155.6,157.89,162.75,153.9,145.37,153.07,147.36,140.65,142.59,137.61,157.63,152.16,140.43,142.32,142.06,154.87
153.59,142.25,157.33,156.08,149.33,162.97,150.25,146.47,145.99,137.82,152.9,161.64,150.23,170.7,185.03,174.97,126.8,140.58,158.21,163.89,159.1,178.79,181.28,188.27,105.94,127.84,152.78,161.62,163.97,179.15,180.57,179.18,127.12,121.63,142.36,149.33,158.32,181.72,184.42,175.92,141.72,121.99,130.39,124.85,137.45,164.72,165.39,157.7,162.63,154.26,159.03,143.8,125.68,144.44,159.71,149.75,174.9,154.72,162.83,162.37,162.75,168.6,170.81,168.1
167.68,153.49,149.19,148.71,166.03,167.04,153.06,157.48,133.57,143.66,167.27,172.45,179.8,169.15,150.5,152.77,127.77,127.63,143.08,167.35,176.35,165.35,168.15,168.1,129.51,129.52,142.58,161.59,167.7,162.09,167.67,170.75,125.04,126.4,161.1,164.27,155.41,160.66,172.89,177.24,157.48,143.26,166.09,167.91,157.71,161.01,169.13,159.15,160.73,156.99,152.19,168.29,171.96,155.85,150.72,154.01,145.76,147.58,145.01,164.87,157.2,147.07,162.98,167.99
136.48,130.02,131.72,152.04,163.03,172.93,170.11,165.2,166.41,120.67,119.02,135.76,147.52,164.59,176.47,168.61,166.5,133.17,111.33,114.23,127.57,155.83,178.35,186.52,168.26,149.86,131.02,140.33,135.15,145.21,164.04,173.8,153.96,122.81,125.75,156.86,164.41,151.03,154.61,163.85,151.98,120.14,131.17,161.46,158.05,143.62,146.69,167.86,144.87,119.45,140.61,173.71,158.99,142.59,145.14,162,142.04,121.19,124.21,145.11,142.15,148.38,142.86,154.15
145.96,140.31,126.34,113.12,118.66,140.33,139.9,139.51,168.7,149.54,149.38,147.88,129.45,143.81,131.18,120.76,172.49,152.75,148.41,153.47,139.24,138.86,143.44,117.8,156.93,145.75,133.26,146.65,162.72,156.35,131.51,136.35,151.53,143.73,127.52,140.33,168.8,163.12,136.13,150.21,148.94,173.1,158.82,137.21,154.26,160.58,142.27,141.34,148.79,165.43,159.23,133.41,127.64,158.22,171.77,152.2,121.89,125.42,146.03,142.27,127.53,141.77,160.67,159.55
131.08,123.3,147.32,150.99,150.73,148.27,153.97,157.52,150.63,128.4,130.98,150.6,151.69,146.12,149.59,151.13,154.85,137.14,127.62,146.97,169.75,160.01,139.66,141.75,158.54,138.92,121.23,146.58,169.25,175.82,147.34,128.13,158.66,154.84,144.35,136.65,149.27,160.83,160.91,150.35,150.83,159.05,163.31,139.75,127.36,148.5,161.2,168.04,139.54,145.78,166.94,171.16,139.78,144.47,147.18,151.55,152.21,132.31,145.23,157.13,140.92,147.71,148.99,133.01
170.6,147.29,151.48,149.29,137.6,162.15,171.54,131.15,165.84,141.37,143.72,138.37,129.1,160.41,176.05,152.46,160.52,136.5,146.47,145.48,131.87,132.53,160.99,189.26,101.69,127.85,156.48,158.83,153.49,141.97,140.4,159.35,111.25,125.93,147.81,152.36,152.61,160.3,156.71,157.57,112.11,119.66,133.19,158.45,154.9,141.59,151.58,155.09,112.38,111.84,131.46,153.17,166.85,148.74,145.18,136.53,111.65,117.99,152.51,159.88,159.92,152.25,151.55,141.02
