label0,label1
170.39,93.593
169.75,62.8
153.69,91.456
131.69,88.069
162.85,91.156
132.05,93.844
153.59,80.635
167.68,79.912
136.48,98.764
145.96,93.211
131.08,102.81
170.6,73.626
139.11,110.71
153.41,109.28
118.62,118.76
143.01,127.26
122.28,100.76
144.6,108.52
105.11,106.62
144.26,105.63
148.21,94.454
134.32,104.52
167.44,103.47
167.64,100.8
133.94,65.633
161.12,89.306
173.1,95.161
148.31,67.621
146.6,66.779
147.43,57.133
125.04,66.688
117.56,66.272
160.04,79.915
126.91,70.051
151.84,92.123
154.74,93.487
158.36,94.963
157.35,96.769
137.19,84.648
154.28,91.036
148.16,103.98
160.78,100.64
141.88,107.15
108.16,87.688
143.84,115.26
116.09,109.21
133.85,116.81
130.12,123.48
138.38,87.459
124.75,111.66
132.42,98.976
156.48,109.87
155.91,95.004
138.43,87.35
158.87,95.941
162.45,107.71
156.85,69.245
129.82,91.732
126.32,92.077
124.53,69.184
140.66,64.284
156.96,70.11
158.44,78.84
142.89,88.597
151.38,91.347
131.04,76.4
133.7,93.157
181.63,94.175
154.12,96.385
123.61,102.78
148.18,87.495
159.17,108.35
141.08,94.231
126.13,87.97
136.61,107.22
140.22,88.879
152.25,120.27
128.9,112.52
137.45,121.34
153.36,121.86
125.48,90.3
123.07,117.5
154.97,103.95
130.81,107.19
153.91,96.492
120.59,87.071
114.82,89.576
158.12,112.87
157.88,72.075
139.02,94.125
129.44,90.696
146.18,76.502
153.47,78.043
104.23,82.015
165.22,91.113
101.59,87.764
104.93,87.522
167.6,71.974
156.52,93.92
145.65,94.503
149.66,96.721
155.71,102.09
175.8,90.06
136.89,106.01
154.1,88.379
174.42,70.401
125.15,113.2
144.92,91.919
157.9,120.23
188.95,116.97
164.49,127.14
144.84,121.3
129.46,95.97
144.52,97.787
136.1,107.43
159.17,108.88
116.16,100.19
125.07,102.22
138.03,100.3
153.55,116.21
143.43,84.457
133.57,91.228
112.85,93.806
100.77,75.355
105.37,79.527
85.59,87.727
155.14,89.331
130.4,91.274
169.53,83.289
152.49,70.861
145.86,98.215
159.39,93.145
146.9,95.773
140.75,101.68
151.51,80.719
169.64,109.14
155.84,84.137
178.16,107.8
129.95,117.89
171.76,92.237
129.55,114.88
140.11,114.49
152.3,120.1
151.61,123.59
122.37,100.75
143.42,104.74
141.37,95.236
112.2,104.8
119.21,96.348
155.7,106.97
157.33,100.42
127.82,115.01
166.35,82.024
158.32,95.695
165.62,94.961
135.84,66.332
149.8,80.59
140.85,94.841
115.68,90.386
110.3,93.018
134.24,80.893
162.67,75.879
167.82,98.023
166.05,96.925
142.75,97.589
160.18,105.6
112,83.632
165.85,108.79
164.42,107.34
179.04,119.13
147.47,122.22
172.48,78.827
140.38,110.11
162.86,119.08
176.78,127.15
159.41,127.59
168.91,101.39
165.15,104.07
145.66,101.21
146.2,94.805
134.92,97.36
175.75,107.18
166.27,99.075
167.37,117.14
135.02,81.336
161.27,94.444
120.9,94.714
99.218,69.507
120.57,84.936
141.62,100.78
122.92,82.505
155.97,91.417
150.3,78.039
167.2,79.676
161.22,96.537
148.19,97.802
148.24,100.3
163.62,103.44
149.14,87.564
149.73,95.23
131.71,119.55
141.87,123.92
135.52,112.83
157.22,80.513
152.11,110.59
152.72,117.93
148.46,124.79
146.51,116.01
130.14,106.98
142.38,104.15
165.68,97.541
147.02,107.33
142.83,103.03
103.03,114.11
122.98,100.94
133.99,113.59
165.92,88.305
127.56,100.81
115.82,93.011
135.89,73.297
122.13,76.041
139.28,96.157
173.89,83.35
152.47,84.839
170.35,84.542
184.65,84.266
140.75,101.59
145.5,102.15
173.17,102.44
156.91,106.76
164,91.492
165.57,93.221
127.16,120.78
137.89,123.56
175.26,117.46
148.76,76.656
117.61,121.07
139.87,114.99
160.3,120.72
135.54,124.76
137.27,114.15
154.95,108.12
164.29,106.24
134.97,109.51
148.64,102.89
128.16,115.09
124.4,112.96
169.97,111.22
140.21,92.608
94.127,90.524
125.81,85.033
146.89,80.798
158.04,79.924
112.73,88.807
170.06,75.606
146.59,76.074
150.64,94.777
171.37,87.637
146.25,98.429
149.16,101.74
175.61,104.58
148.63,103.19
138.37,94.947
149.66,100.2
123.16,119.07
155.91,121.55
146.56,102.05
131.2,92.941
132,120.04
144.69,117.64
152.2,124.63
131.55,127.09
129.73,113.44
136.63,107.27
168.99,105.71
134.93,102.93
97.908,90.341
125.15,104.98
110.24,115.68
139.28,112.79
153.24,97.664
108.28,93.825
137.38,88.864
146.64,78.346
134.49,91.836
140.63,92.56
133.11,82.086
120.97,81.86
173.9,67.881
152.95,86.137
177.11,97.064
121.93,100.88
152.7,101.52
158.55,106.33
153.32,99.599
149.77,111.82
141.03,121.48
161.75,98.722
136.23,105.84
149.68,106.89
138.93,125.43
169.27,123.14
130.61,125.49
207.96,129.82
139.44,121.8
162.22,98.658
160.78,90.765
174.43,105.86
140.24,100.37
146.44,105.07
129.58,104.19
172.32,107.8
99.996,97.144
179.67,90.347
101.03,78.64
125.58,69.308
126.04,82.234
125.85,96.295
131.49,85.926
147.81,74.92
162.05,77.325
153.47,89.204
158.59,96.915
149.4,92.709
186.62,107.93
171.63,102.94
190.21,87.488
169.41,110.86
132.77,96.674
177.76,102.92
162.77,108.51
160.67,101.17
159.38,128.42
150.04,121.18
137.05,120.75
178.69,130.72
149.21,130.52
152.53,96.853
150.63,101.9
146.81,108.6
128.41,104.32
142.17,107.13
133.47,109.51
113.99,106.12
178.25,95.127
164.46,98.043
132.6,76.056
146.14,69.39
100.21,84.925
118.9,89.019
146.18,78.727
93.172,74.979
185.17,85.446
175.03,86.554
175.67,101.29
153.89,98.567
147.4,101.51
168.33,111.71
174.52,83.728
151.6,113.72
142.11,102.24
170.14,107.95
141.04,122.59
160.59,104.62
131.72,123.8
154.84,122.69
198.21,125.33
143.11,128.97
132.07,116.57
134.47,108.9
135.48,109.33
198.51,103.09
172.97,105.28
132.09,113.88
154.77,107.05
122.21,106.59
154.08,94.285
135.92,85.725
113.2,77.444
118.68,62.383
122.74,74.072
97.442,82.407
152.1,77.169
128.38,76.625
177.17,84.965
156.13,87.869
162.84,99.168
184.08,102.14
172.4,103.35
147.94,103.99
171.74,79.556
156.7,116.12
187.99,108.18
154.28,110.68
177.12,123.33
166.1,109.51
193.55,127.7
149.85,116.76
147.66,125.88
