label0,label1
152.5,108.29
163.55,111.33
149.19,80.031
124.63,105.97
161.49,107.44
171.41,94.003
174.02,109.13
108.09,109.78
153.25,104.85
155.59,104.49
173.33,119.74
175.31,129.86
177.41,123.85
121.59,90.243
155,111.42
135.2,98.023
173.85,64.167
210.4,118.16
154.28,76.307
198.46,126.22
131.46,66.338
131.65,80.968
198.24,110.25
136.69,67.373
182.12,73.034
141.69,102.59
182.53,107.27
176.26,85.878
157.96,89.504
198.01,126.1
172.36,100.88
152.25,110.75
169.27,115.71
165.48,102.93
124.66,88.443
176.07,108.42
119.08,110.1
138.38,96.998
135.16,99.992
156.73,81.914
197.13,81.804
120.35,87.437
140.9,101.67
154.44,118.64
134.41,87.526
158.86,113.57
160.31,123.15
161.94,99.099
172.65,132.17
178.96,125.35
117.94,101.51
156.23,124.4
166.18,115.49
140.74,130.26
175.78,74.17
158.8,98.831
147.54,82.639
162.9,92.723
133.51,52.706
156.54,69.181
199.05,130.01
133.18,117.65
130.13,105.93
135.24,116.55
173.05,95.839
176.68,100.65
138.58,111.79
139.25,72.094
189.46,118.02
128.48,113.62
129.18,97.557
131.94,73.938
145.18,94.933
141.97,116.26
121.06,112.77
162.76,133.85
154.13,83.968
144.64,86.957
139.7,74.929
130.49,74.163
151.64,98.892
163.45,76.795
134.47,101.58
154.47,89.753
142.34,89.408
158.04,123.63
157.1,117.4
142.22,94.17
163.97,51.398
142.68,132.69
140.32,101.72
149.96,114.68
160.11,128.18
146.9,99.32
160.62,93.332
150.73,99.497
152.16,115.94
179.19,67.322
165.78,65.455
134.07,57.948
129.07,133.59
128.64,89.277
181.25,105.88
136.96,117.69
158.91,105.37
133.9,122.97
143.78,69.504
136.58,72.104
149.21,104.27
133.41,87.778
129.75,109.03
119.73,134.26
167.33,99.245
117.21,73.631
158.38,73.555
180.72,106.64
133.28,112.57
137.82,79.033
179.6,106.88
186.53,85.312
179.03,100.5
112.58,85.841
199.16,86.333
145.07,109.25
146.34,134.21
126.28,108.38
199.94,105.66
96.039,81.468
126.57,69.198
163.11,102.18
152.7,124.99
194.84,111.71
191.85,111.24
159.18,107.82
122.69,64.21
162.39,122.95
174.15,126.99
168.53,84.239
156.03,83.303
142.07,125.1
97.052,79.748
170.95,75.496
138.24,109.63
182.79,106.79
144.78,67.155
182.71,100.89
168.24,103.96
149.18,111.12
141.29,102.74
151.84,89.774
156.14,75.382
193.41,100.92
130.31,131.18
143.15,98.655
159.44,93.208
130.44,65.673
134.96,69.795
203.27,108.38
132.95,103.02
181.15,112.65
147.5,124.3
133.5,88.516
111.52,78.786
153.17,111.33
116.88,93.241
144.95,96.697
121.02,93.159
157.14,121.95
131.88,93.925
132.79,123.53
95.915,132.49
141.2,67.51
101.75,73.004
117.4,98.925
145.77,76.823
170.17,80.277
150.93,100.51
165.57,96.257
177.78,116.96
138.49,93.983
151.91,97.722
118.03,68.962
158.03,94.957
154.83,81.333
152.21,57.644
120.72,82.659
129.58,104.19
182.46,93.198
181.22,92.746
117.37,82.123
114.2,83.487
140.7,109.14
167.09,67.205
168.84,111.67
107.16,93.989
141.28,113.85
113.35,110.3
176.93,102.4
177.19,95.096
154.72,87.972
136.93,120.72
116.05,118.67
123.97,68.327
154.62,122.55
150.42,110.03
158,136.12
131.29,103.01
148.54,99.002
147.78,95.586
170.72,116.56
137.75,86.38
185.27,95.307
166.76,114.72
136.48,98.764
151.47,103.8
118.85,67.785
178.8,93.375
132,127.38
133.61,67.918
158.6,119.96
156.53,98.455
181.31,101.97
162.52,110.37
164.97,104.75
135.42,98.359
130.18,76.904
134.21,75.079
178.41,64.043
125.19,49.993
127.59,78.093
136.85,100.6
173.39,79.991
131.95,96.033
190.96,116.64
131.07,66.968
121.24,76.677
162.48,95.841
120.95,78.572
146.71,100.44
116.93,77.346
144.73,64.59
153.7,102.39
141.66,109.12
130.51,82.089
111.47,66.74
147.57,100.74
145.77,80.523
149.82,92.691
162.75,92.17
137.43,130.17
133.07,129.25
159.03,95.83
89.514,91.62
168.02,103.25
151.22,101.15
138.66,127.73
175.85,117.71
117.13,113.09
199.62,128.64
161.56,88.378
113.43,103.92
165.5,99.334
156.72,104.88
158.09,75.128
205.54,133.82
161.83,94.362
153.37,89.125
151.79,116.93
103.94,69.189
128.29,105.23
136.88,67.28
188.47,82.988
163,119.72
139.44,109.01
167.64,100.8
132.37,104.32
141.83,104.14
121.32,112.63
120.94,82.442
172.64,128.1
120.76,98.972
154.9,126.31
132.76,71.964
182.55,98.824
158.48,81.675
164.96,106.09
134.07,85.444
159.97,112.44
192.63,90.409
172.2,125.36
136.55,84.893
136.53,113.79
126.3,136.4
157.49,112.46
174.24,74.245
117.04,99.677
139.89,129.25
122.82,86.169
151.23,92.344
140.54,91.117
156.07,87.048
158.33,111.81
140.3,99.812
162.06,89.587
119.93,111.82
127.65,131.36
150.57,100
133.13,112.84
146.17,138.11
79.716,70.922
171.39,95.496
186.65,83.889
161.85,100.22
129.37,98.351
128.64,115.16
135.8,124.16
139.39,81.311
150.62,58.847
105.48,111.66
124.57,114.28
131.4,118.58
165.11,72.028
117.64,75.336
136.43,109.1
178.75,105.22
134.13,104.07
138.38,96.875
145.95,98.223
162.81,110.92
123.73,110.21
155.02,108.3
141.84,118.26
161.78,119.2
134.56,104.68
184.09,88.012
159.4,97.045
162.99,97.461
145.5,130.05
192.8,117.05
147.65,90.612
142.71,132.44
153.22,93.729
123.18,68.805
148.62,108.94
170.33,102.32
147.12,91.854
169.19,97.857
167.63,106.39
155.05,127.91
146.48,119.86
131.15,84.24
121.83,100.41
150.64,98.118
124.5,80.764
161.57,106.88
163.44,102.52
140.01,79.517
139.85,104.36
167.07,114.48
141.27,103
153.61,75.304
66.143,68.481
159.57,106.2
140.44,80.822
121.11,50.927
158.61,62.857
137.78,92.75
184.04,130.83
151.08,106.92
136.33,76.04
193.03,94.361
206.16,100.27
153.52,77.952
165.91,132.58
141.59,137.33
129.89,92.099
165.56,82.458
124.45,102.03
149.36,86.356
138.29,93.857
144.21,117.12
149.83,85.379
98.454,88.91
162.8,86.733
135.18,83.999
161.72,103.67
155.63,96.653
191.67,132.99
134.8,110.07
136.59,66.479
136.77,113.76
140.7,97.113
161.79,107.22
172.57,129.55
142.36,107.71
145.81,96.996
170.12,91.863
155.62,70.229
141.21,99.732
193.66,93.643
131.3,106.34
120.52,93.199
125.78,116.78
174.13,108.73
113.64,120.46
194.74,84.946
172.84,115.8
158.84,79.733
104.05,114.07
173.04,98.756
168.41,91.164
176.13,124.49
159.71,110.68
121.65,102.61
135.35,99.865
136.07,78.509
163.27,98.637
192.55,131.97
145.81,99.726
168.67,111.64
159.88,119.89
166.19,82.451
135.89,103.21
153.39,74.215
170.15,91.731
174.19,103.05
123.26,96.768
193.22,66.97
161.72,110.99
138.16,112.49
141.89,99.579
169.67,93.39
137.92,102.63
141.55,126.86
188.48,128.25
172.32,125.32
152.53,110.93
143.01,97.991
114.82,89.576
194.09,125.76
146.93,113.03
137.67,72.305
130.03,94.143
150.08,122.96
157.51,93.369
113.8,113.96
181.72,98.877
118.21,100.56
141.4,127.41
131.49,113.65
186.73,79.902
143.53,94.58
137.2,91.475
151.09,59.734
170.76,98.519
174.19,90.976
179.82,88.081
176.66,109.6
138.27,127.1
128.97,99.834
167.87,74.843
144.1,108.41
169.35,128.84
155.09,98.946
157.56,96.902
189.42,109.45
147.05,63.55
151.69,101.2
188.29,82.458
159.83,79.573
115.7,88.901
132.27,88.336
149.06,112.16
115.79,90.046
105.04,92.265
177.79,110.21
159.96,109.87
164.67,132.3
174.46,108.44
146.27,56.035
154.97,101.91
158.77,109.22
158.85,109.39
133.37,112.72
130.86,107.61
185.09,103.15
175.57,74.165
177.85,100.91
109.82,91.432
131.18,109.86
115.91,115.72
112.64,63.491
161.24,104.05
143.46,94.15
136.2,96.314
175,91.256
131.96,74.355
149.13,98.547
140.99,87.131
184.97,76.562
167.44,108.49
159.89,115.47
157.76,84.514
180.38,131.85
173.16,99.191
193.39,101.87
118.26,63.878
126.49,69.903
144.04,105
159.08,94.053
147.18,90.553
169.06,94.743
148.89,86.485
186.76,71.904
145.73,82.29
138.7,121.16
154.07,108.22
156.23,107.97
140.97,76.852
174.39,65.704
184.92,104.36
133.92,78.054
161.74,122.13
175.24,106.38
190.83,122.26
153.91,106.94
109.55,66.569
178.54,96.874
115.85,65.422
163.88,69.592
175.38,102.5
160.39,89.803
128.29,122.68
174.51,107.77
176.78,127.15
159.48,103.38
137.62,81.666
179.55,123.69
153.56,127.27
158.75,98.363
200.81,121.49
181.16,124.36
136.28,90.342
152.8,80.837
175.34,105.62
171.65,89.369
175.26,117.46
169.81,109.33
146.07,92.484
156.68,106.5
168.52,75.004
133.87,109.31
127.05,93.771
148.92,77.374
142.62,95.219
149.57,84.947
135.19,111.24
178.78,86.576
182.28,89.885
147.1,87.478
154.84,120.38
159.92,109.82
150.88,103.5
126.87,114.89
138.95,65.942
166.69,79.675
150.7,90.461
151.97,110.03
162,98.614
179.97,105.02
151.1,64.337
160.04,107.16
170.21,121.78
181.25,127.33
127.14,109.92
170.18,118.56
