1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
93.593,89.581,86.892,89.289,87.814,87.369,85.607,85.63,83.339,84.683,81.734,81.225,84.852,81.868,78.276,81.283,79.022,77.063,78.297,80.507,82.925,84.504,81.379,81.717,75.044,74.58,78.084,76.845,78.794,80.752,80.069,81.097,77.487,77.684,78.752,81.008,81.979,81.407,80.644,81.851,80.868,83.396,81.593,83.65,84.882,86.387,84.198,83.036,76.999,78.213,79.675,82.38,82.86,82.217,82.271,77.157,57.394,65.553,68.725,69.74,70.054,69.422,67.564,64.938
62.8,68.942,70.733,72.27,74.104,70.765,70.433,73.389,83.64,83.944,88.289,87.761,85.594,84.764,83.381,84.21,88.539,88.984,89.777,89.711,90.207,88.429,89.882,90.201,86.99,89.028,87.721,87.014,88.114,85.218,88.576,90.162,78.969,81.362,84.892,85.082,81.996,82.254,81.217,85.179,75.091,82.033,85.999,84.767,81.454,80.516,80.471,82.209,81.035,85.185,87.327,88.542,85.139,82.219,80.844,85.389,90.223,91.711,93.813,92.941,92.318,91.933,86.628,86.684
91.456,95.562,95.546,97.105,95.005,95.161,93.941,93.656,93.53,95.806,96.912,96.016,95.149,95.037,96.169,95.298,88.35,90.952,89.005,90.342,94.513,92.675,93.838,95.132,87.474,87.375,90.744,91.039,93.21,96.962,93.175,90.758,89.535,91.942,97.438,99.501,98.072,96.151,93.773,94.589,92.498,95.101,97.285,99.19,99.424,96.52,96.29,97.871,94.243,94.517,92.433,94.274,96.275,93.477,93.733,96.668,88.511,88.927,87.496,87.76,92.894,90.028,86.025,90.142
88.069,85.126,87.511,88.397,91.063,91.295,87.67,91.243,94.734,89.15,88.618,88.454,86.647,88.351,90.477,93.105,89.252,86.329,86.603,88.586,89.195,86.429,89.015,92.11,92.594,92.232,93.325,92.014,90.893,91.924,91.439,93.774,92.89,94.613,94.657,93.145,94.552,94.035,91.811,92.87,95.298,94.87,93.355,92.465,92.582,93.196,90.944,93.942,91.731,92.317,93.867,92.517,89.152,90.695,91.443,93.115,90.032,91.643,91.1,88.701,86.289,85.426,89.038,89.705
91.156,89.904,88.336,87.195,86.341,90.781,92.56,93.496,94.155,95.442,93.192,93.851,93.78,97.349,97.469,93.951,96.728,97.468,95.923,93.494,98.021,98.438,97.134,94.72,102.4,98.506,93.825,91.799,93.384,95.772,94.053,94.552,100.29,102.07,97.874,96.305,98.548,100.97,95.239,96.054,93.498,91.635,94.272,91.885,91.344,90.592,89.819,92.522,89.176,92.262,91.666,90.146,89.623,86.742,88.82,93.671,92.162,91.778,95.059,92.023,90.437,94.085,92.362,95.685
93.844,94.296,94.05,92.995,90.762,97.25,98.309,96.211,97.185,96.145,91.792,93.777,93.109,98.23,100.31,98.186,95.205,94.976,91.306,91.085,91.756,95.414,94.367,93.979,91.69,95.998,97.432,97.171,93.935,94.454,96.917,96.244,95.687,94.294,96.969,99.208,97.66,96.77,102.81,101.16,102.65,99.341,96.257,93.483,92.437,96.423,99.299,99.175,100.21,96.913,98.292,95.634,94.671,97.742,95.267,93.616,88.016,85.432,82.371,82.877,81.197,81.97,82.8,83.532
80.635,76.551,76.803,78.595,81.578,83.491,85.992,87.05,82.384,79.518,78.874,76.244,77.044,82.635,85.878,86.76,100.1,97.711,92.753,90.306,86.284,85.827,86.599,87.599,99.788,99.87,99.942,97.852,96.024,96,95.878,97.39,96.633,98.612,102.34,101.48,101.16,98.877,100.08,100.57,89.98,94.471,95.911,98.449,98.428,97.082,98.593,99.608,87.496,87.488,86.338,86.227,85.481,86.411,88.427,93.284,87.08,84.424,84.806,82.228,77.748,74.745,77.486,84.133
79.912,81.173,80.031,81.946,79.735,76.393,76.448,84.169,90.645,90.913,91.363,96.293,97.064,93.637,90.052,91.801,95.396,99.274,98.858,103,106,104.41,102.76,101.31,98.702,100.77,101.33,105.23,104.78,101.76,104.93,104.47,101.77,102.22,103.56,101.4,100.29,99.883,99.606,102.11,101.33,100.4,99.38,99.593,97.208,99.836,100.05,99.107,102.83,105.69,104.52,102.01,100.32,102.03,100.49,102.64,101.21,103.93,104.57,102.58,103.71,101.32,102.88,104.58
98.764,101.54,101.27,101.74,101.43,105,104.2,103.81,95.103,98.08,99.012,99.729,100.09,99.583,101.07,103.73,96.815,95.123,95.312,93.72,97.624,99.689,99.228,101.05,96.64,96.097,97.316,99.421,101.54,101.62,101.71,102.35,89.318,93.939,98.174,98.122,96.824,97.374,101.52,100.64,90.384,94.422,96.432,98.494,100.54,100.34,103.05,103.91,91.935,92.803,97.982,98.391,99.499,98.725,102.26,101.64,95.861,93.27,97.154,98.11,101.57,100.16,100.42,100.17
93.211,94.016,94.594,98.119,100.48,98.712,96.629,99.316,95.684,92.49,92.919,99.286,99.814,96.858,97.151,98.972,92.226,96.176,94.334,95.309,95.988,91.031,92.598,91.939,88.167,90.996,89.512,86.359,83.132,81.727,76.954,76.688,79.05,79.053,80.717,77.854,77.136,74.961,72.776,74.301,74.881,83.623,83.981,83.156,80.947,78.688,77.729,77.346,84.208,90.969,90.296,87.778,90.346,88.85,87.386,85.723,93.873,97.644,95.591,96.388,95.622,93.648,95.42,95.044
102.81,102.32,100.2,99.637,99.497,97.127,98.255,101.72,103.71,103.81,104.37,101.75,101.23,96.978,96.774,100.86,106.81,106.43,108.57,102.93,102.46,102.18,101.25,104.68,109.33,104.95,103.35,101.68,103.88,104.55,98.118,96.824,104.11,104.2,102.23,99.356,99.845,96.192,92.146,90.861,90.84,93.065,90.7,87.802,87.959,91.907,95.693,95.951,89.304,89.518,86.787,84.564,85.407,90.605,95.797,97.641,85.332,84.312,85.726,91.913,95.064,99.027,95.039,93.897
73.626,69.662,73.224,81.41,85.509,85.344,84.764,84.24,76.866,75.395,73.82,76.086,77.477,79.372,79.226,77.723,84.913,85.603,86.9,85.429,89.123,89.692,87.817,90.881,82.374,80.962,80.345,82.567,84.648,85.468,89.173,87.778,98.67,97.022,95,98.035,100.2,100.6,99.229,97.588,100.72,103.36,101.66,102.95,107.38,107.02,107.29,108.13,105.69,104.96,106.16,108.81,110.78,112.38,112.21,112.94,106.36,105.82,107.8,111.67,114.8,115.27,115.93,114.47
110.71,111.66,113.04,114.25,117.64,119.47,118.21,115.1,111.75,116.08,114.61,116.25,113.84,114.73,120.66,123.6,115.18,110.2,109.49,108.89,108.95,110.65,114.91,117.86,107.46,105.39,105.89,107.49,108.23,108.79,111.42,115.72,91.535,93.62,99.175,101.76,102.4,104.88,103.21,106.52,90.499,90.778,96.306,98.364,96.467,93.814,88.43,89.895,101.2,101.37,107.6,106.81,104.38,105.22,102.44,102.08,105.02,108.32,107.95,102.07,103.82,105.58,107.97,111.49
109.28,108.22,109.06,108.06,106.64,107.87,108.57,110.88,108.23,110.74,111.57,112.75,113.57,115.94,113.92,115.08,103.62,106.78,105.69,112.07,114.41,115.14,114.82,116.25,96.636,98.702,101.59,102.03,106.14,108.84,105.72,106.78,103.09,104.62,104.84,104.57,106.17,110.98,109.2,108.7,110.17,103.39,104.41,104.12,110.41,109.82,110.03,112.05,114.1,109.93,106.42,106.08,111.24,110.3,107.11,108.97,114.28,115.4,109.88,109.75,112.69,111.36,109.54,110.6
118.76,117.79,117.44,115.99,112.58,113.11,118.12,118.77,119.67,116.87,113.62,113.38,114.2,115.2,117.68,119.42,121.07,121.1,118.94,118.79,122.2,118.58,119.39,124.12,117.23,119.31,120.05,120.78,122.41,123.71,124.65,123.12,106.43,110.23,113.79,112.89,111.26,110.59,111.23,114.41,113.68,110.97,111.57,111.83,110.32,110.07,105.01,107.75,113.4,115.25,115.24,114.73,116.65,116.69,116.68,116.39,113.92,115.01,118.74,120.72,118.09,120.82,124.32,124.12
127.26,127.13,119.7,119.47,115.38,114.59,118.06,121.42,123.12,121.95,120.95,116.11,117.22,116.43,115.49,117.85,105.81,104.04,104.76,104.88,107.09,107.4,101.82,100.06,104.75,103.46,104.75,107.77,111.7,112.22,107.68,104.7,110.28,111.38,112.28,110.37,109.4,110.21,112.64,112.71,112.34,115.12,113.41,113.54,115.38,110.99,107.13,110.82,116.72,115.09,114.83,113.88,111.61,106.43,105.13,107.09,107.29,104.37,101.53,98.458,92.449,90.702,86.71,86.068
