label0,label1
148.4,86.857
128.04,90.112
161.18,94.775
144.94,129.41
140.75,101.68
203.46,132.6
144.21,81.895
112.67,92.712
149.47,106.65
156.85,85.274
117.13,85.134
160.55,101.55
136.76,87.833
159.34,86.045
129.47,129.11
178.72,99.341
192.16,104.68
108.99,128.27
100.42,98.345
141.73,84.469
152.79,83.874
162.15,82.513
113.05,72.129
121.3,107.22
121.86,99.472
160.83,85.1
152.08,102.62
116.48,79.339
166.55,75.215
182.46,93.198
162.67,131.99
182.11,112.4
143.35,100.54
183.42,124.64
144.2,107.23
104.16,97.494
186.77,116.25
167.84,100.83
175.89,130.69
141.25,101.63
131.13,134.83
180.48,91.543
165.01,127.06
109.86,90.486
165.92,96.131
122.23,127.32
175.26,117.46
117.21,90.486
155.98,106.83
170.78,132.25
166.7,82.886
176.42,100.69
155.49,70.934
135.98,73.986
131.68,70.503
192.72,92.668
129.62,87.281
129.71,126.91
186.49,103.31
169.56,102.54
127.25,93.111
160.44,86.62
129.24,78.292
153.4,100.1
98.168,74.111
164.15,87.347
162.62,94.891
142.32,111.97
150.61,71.257
143.54,91.625
147.92,116.6
143.93,114.72
119.19,78.064
161.62,74.143
171.39,111.46
133.36,108.86
132.63,128.49
175.08,102.98
183.47,81.186
147.43,57.133
153.53,135.37
142.16,91.697
170.44,61.035
180.02,120.3
184.45,115.24
171.9,84.554
186.75,112.01
148.83,93.129
137.33,106.15
129.81,112.22
157.26,93.365
164.41,133.54
157.72,90.765
148.83,101.55
148.33,104.43
181.6,103.88
140.91,100.03
147.6,79.786
143.77,100.39
92.127,104.9
181.98,89.106
154.04,88.909
174.44,98.208
133.47,83.188
110.35,119.28
116.22,99.223
172.68,79.423
153.38,76.971
149.61,107.19
91.682,101.24
184.2,104.18
174.31,83.267
176.93,102.4
150.83,106.43
151.71,92.864
185.49,86.229
133.94,124.72
185.37,80.678
144.5,82.022
118.96,92.729
144.72,128.5
131.58,109.96
110,74.051
95.545,93.78
145.4,108.19
169.21,69.474
191.82,122.15
160.15,55.639
195.78,103.75
167.54,107.14
121.57,85.889
152.64,85.187
129.59,104.41
146.3,110.73
123.11,70.452
165.98,110.37
119.24,58.226
153.63,91.765
171.92,126.67
192.17,113.73
157.73,77.52
161.07,100.89
161.56,97.425
117.05,71.321
109.1,113.2
143.19,98.318
150.39,94.916
126.22,97.924
159.79,95.085
158.78,106.05
162.21,90.41
158.82,56.567
113.35,90.541
217.95,120.42
181.46,119.51
181.43,116.88
131.7,119.85
128.15,110.21
170.46,111.65
165.67,74.735
117.92,123.59
122.2,114.1
134.59,85.515
140.24,95.138
123.14,94.148
119.5,78.306
148.45,106.21
163.95,99.823
132.35,104.01
159.1,101.7
138.99,118.42
155.72,119.32
157.92,95.339
146.47,86.9
150.83,99.143
149.85,105.96
136.79,79.617
158.22,81.759
169.68,82.698
172.74,102.5
150.27,71.547
152.82,78.905
169.66,96.783
183.59,103.93
153.82,106.47
164.24,105.16
165.22,98.273
171.31,118.59
173.64,97.891
191.18,118.5
96.287,81.802
154.34,103.13
147.92,104.56
119.43,65.506
154.55,125.16
130.72,70.145
189.27,122.13
176.85,99.898
181.54,83.313
194.08,99.318
157.64,72.599
122.14,121.36
131.1,106.7
195.27,104.91
124.39,101.22
163.51,82.147
116.25,81.494
122.07,68.57
121.78,89.353
175.5,116
125.21,115.12
166.71,95.227
127.6,108.13
155.87,102.8
147.13,106.58
176.01,136.87
173.82,88.872
156.59,71.158
141.89,91.654
183.33,102.33
179.59,76.356
153.49,96.276
159.49,89.705
171.31,97.017
127.68,99.484
181.54,87.82
188.05,102.12
167.79,119.15
166.32,99.541
207.5,104.46
150.68,124.96
121.23,110.26
156.89,105.46
185.79,85.255
138.8,102.01
149.49,93.524
168.95,96.934
179.64,134.92
184.2,83.14
148.85,87.904
107.51,99.712
133.05,88.405
130.22,96.328
172.94,77.294
175.11,89.981
161.22,112.12
154.81,132.89
182.13,127.54
156.34,107.71
128.79,67.531
165.65,100.56
182.1,84.44
130.41,91.128
124.12,92.941
188.75,119.96
125.41,120.95
162.09,120.74
125.11,95.779
169.15,93.637
146.46,97.105
206.52,103.86
124.84,126.34
108.84,76.29
163.47,109.88
146.62,121.44
179.55,124.47
158.9,104.23
148.98,104.4
179.8,111.14
165.71,87.235
172.38,91.066
134.81,107.26
152.81,67.679
184.63,72.745
125.31,103.08
171.66,108.97
183.13,105.24
144.58,102.24
133.95,96.668
121.27,94.995
196.88,70.836
142.94,110.4
156.54,104.17
99.267,73.322
173.08,95.95
135.82,109.23
150.96,100.34
170.58,87.702
158.3,107.74
162.36,91.876
139.17,64.461
165.1,86.832
186.67,131.47
173.56,82.332
172.27,99.046
176.08,104.21
159.93,111.82
163.56,73.452
138.17,89.136
182.85,108.94
166.76,104.14
174.34,129.45
150.64,98.642
122.39,112.78
139.87,83.735
151.91,114.23
137.36,98.448
155.89,104.57
132.73,93.75
137.09,91.205
174.45,97.105
109.99,124.57
131.95,89.29
150.16,125.06
159.88,86.722
146.25,100.58
121.89,108.13
99.616,59.122
155.14,94.261
136.91,68.716
144.43,102.37
135.38,79.544
150.6,63.934
175.41,103.2
125.43,104.24
162.81,110.96
186.9,88.403
153.88,81.816
143.89,81.01
136,64.21
199.79,111.05
125.73,94.98
148.94,88.732
165.64,91.933
127.47,80.825
160.97,113.07
148.05,93.942
138.25,112.34
190.99,133.1
164.56,96.528
147.9,65.592
123.55,98.034
133.45,70.741
150.42,117.08
160.31,97.4
133.09,128.27
128.27,100.3
183.32,87.539
124.77,117.16
121.22,73.1
154.03,103.28
157.31,68.886
121.34,82.042
145.91,95.07
188.19,96.079
148.66,122.62
126.92,91.942
125.56,107.72
172.12,108.46
188.94,121.46
149.71,122.87
159.04,73.094
139.93,111.9
162.67,99.45
116.83,81.213
150.12,109.3
103.67,72.193
182.05,100.71
151.4,88.144
145.84,72.206
161.22,116.22
130.44,65.673
138.85,72.178
115.59,109.24
164.25,103.96
159.9,113.6
157.16,109.33
147.34,92.373
122.35,90.884
131.03,100.43
143.08,112.56
105.87,64.972
143.35,94.598
175.45,102.22
136.69,67.373
165.83,106.46
143.02,84.082
156.45,80.098
163.2,125.9
180.17,128.49
174.37,107.41
169.51,101.56
146.54,88.989
130.88,78.338
126.46,96.651
146.37,106.19
170.22,105.57
180.22,102.48
122.2,77.489
166.41,95.103
153.27,135.13
179.8,105.26
97.491,66.85
134.14,113.09
101.53,136.32
108.34,74.226
223.51,125.83
187.17,101.69
158.29,96.106
86.996,82.284
172.02,87.172
155.16,72.518
134.47,121.3
172.35,103.35
145.58,95.483
185.59,68.224
125.07,116.81
145.24,103.3
170.17,96.838
157.51,75.34
146.85,87.464
208.28,91.45
157.08,112.41
155.65,103.53
124.38,139.9
149.87,102.08
125.66,116.53
145.38,82.67
180.21,110.38
175.96,92.747
127.46,104
140.77,89.988
147.64,105.75
140.91,57.909
165.79,93.804
172.27,107.61
151.16,94.926
152.62,79.442
150.35,85.707
128.09,87.363
160.58,115.53
157.24,105.62
131.25,97.192
166.35,101.66
152.09,99.207
108.25,113.6
146.4,103.77
143.66,113.7
137.3,110.28
131,98.455
124.67,91.713
157.68,135.75
95.707,65.607
120.89,51.439
114.73,116.21
102.54,100.84
146.17,85.001
127.58,77.26
158.09,132.42
154.23,59.371
109.05,102.39
198.74,77.736
131.97,76.107
158.53,81.273
118.44,76.377
145.32,68.325
176.15,97.378
133.44,111.63
169.16,131.11
177.45,95.339
126.34,95.839
130.39,91.086
193.39,128.88
123.22,83.606
128.97,99.834
177.6,106.12
146.85,116
92.992,95.713
151.62,78.583
102.96,64.292
168.46,78.618
150.87,103.9
193.22,66.97
120.74,100.24
136.47,116.92
159.2,86.239
162.08,106.9
148.12,67.919
154.17,127.86
156.19,113.9
156.43,105.69
155.17,130.77
138.74,132.43
152.94,106.52
144.66,102.15
183.03,97.649
152.04,113.15
113.01,93.924
140.96,137.59
142.73,126.74
160.03,95.841
125.25,70.659
168.77,95.6
156.93,106.28
167.64,115.65
176.98,99.813
172.57,80.62
147.73,127.39
125.88,101.91
161.72,92.683
152.06,86.004
132.48,123.15
134.25,113.59
152.25,129.71
170.14,107.95
190.87,72.156
167.11,95.131
157.73,88.349
